file_name,SMILES
train_0.png,CC(=O)OC(CC(=O)[O-])C[N+](C)(C)C
train_1.png,CC(=O)OC(CC(=O)O)C[N+](C)(C)C
train_2.png,C1=CC(C(C(=C1)C(=O)O)O)O
train_3.png,CC(CN)O
train_4.png,C(C(=O)COP(=O)(O)O)N
train_5.png,C1=CC(=C(C=C1[N+](=O)[O-])[N+](=O)[O-])Cl
train_6.png,CCN1C=NC2=C(N=CN=C21)N
train_7.png,CCC(C)(C(C(=O)O)O)O
train_8.png,C1(C(C(C(C(C1O)O)OP(=O)(O)O)O)O)O
train_9.png,C(CCl)Cl
train_10.png,C1=C(C=C(C(=C1O)O)O)O
train_11.png,C1=CC(=C(C=C1Cl)Cl)Cl
train_12.png,CCCCCC(=O)C=CC1C(CC(=O)C1CCCCCCC(=O)O)O
train_13.png,CC12CCC(=O)CC1CCC3C2CCC4(C3CCC4O)C
train_14.png,C1CCC(=O)NCCCCCC(=O)NCC1
train_15.png,C1C=CC(=NC1C(=O)O)C(=O)O
train_16.png,C(C(C(C(=O)C(=O)C(=O)O)O)O)O
train_17.png,C1=CC(=C(C(=C1)O)O)C(=O)O
train_18.png,C1=CC(=C(C(=C1)O)O)CCC(=O)O
train_19.png,CCC(C(=O)C)(C(=O)O)O
train_20.png,CC(=O)C(C)(C(=O)O)O
train_21.png,C(=CC(=C(C(=O)O)N)C(=O)O)C=O
train_22.png,C(C(C(C1(C(N(C2C(N1O)C(=O)NC(=N2)N)O)O)O)O)O)O
train_23.png,CC(=O)C(=O)C1=NC2C(N=C(NC2=O)N)N(C1O)O
train_24.png,C(=CC(=O)O)C=C(C(=O)O)N
train_25.png,C(=O)C(C(=O)O)N
train_26.png,C(=CC=O)C=C(C(=O)O)N
train_27.png,CC(CO)(C(COP(=O)(O)O)O)O
train_28.png,C(=CC(=O)O)C=C(C(=O)O)C(=O)O
train_29.png,C(C=O)Cl
train_30.png,C(CCl)O
train_31.png,C1=CC(OC1=O)(CC(=O)O)Cl
train_32.png,CC(C)C(C(C(=O)O)O)C(=O)O
train_33.png,C(C(C(CO)O)O)C(=O)C(=O)O
train_34.png,CC(C)(CO)C(=O)C(=O)O
train_35.png,CC1(COC(=O)C1=O)C
train_36.png,C1C(C(C(OC1O)CO)O)O
train_37.png,CSCCC(=O)C(=COP(=O)(O)O)O
train_38.png,C(CC(=O)O)C(=O)C=CC=C(C(=O)O)O
train_39.png,C(CC(=O)O)C(C(=O)O)O
train_40.png,C(C(=O)[O-])(C(=O)[O-])O
train_41.png,C(C(=O)O)(C(=O)O)O
train_42.png,C(C(C(COP(=O)(O)O)O)O)C(=O)C(=O)O
train_43.png,CCC(C)C(=O)C(=O)O
train_44.png,C(CC(=O)N)C(=O)C(=O)O
train_45.png,CC(C)C(=O)C(=O)O
train_46.png,C(C(C(C(C(=O)C(=O)O)O)O)O)O
train_47.png,C(CC(=O)O)C(=O)C(=O)O
train_48.png,CCC(=O)C(=O)O
train_49.png,C(C(C(=O)O)OP(=O)(O)O)O
train_50.png,C(C(C(=O)O)OP(=O)(O)O)OP(=O)(O)O
train_51.png,C1=C(C(C=C(C1O)Cl)Cl)Cl
train_52.png,CC(CC(C(=O)O)N)N
train_53.png,C1=C(C(C=C(C1O)Cl)O)Cl
train_54.png,C1=C(C(=CC(=C1Cl)O)Cl)O
train_55.png,C1=CC(=C(C=C1Cl)O)Cl
train_56.png,C(C(=O)C(C(C(=O)C(=O)O)O)O)O
train_57.png,CC1(C(COP(=O)(OP(=O)(O1)O)O)O)CO
train_58.png,CC(=O)C=CC=C(C(=O)O)O
train_59.png,CC(C)CC(=O)C(=O)O
train_60.png,C(CC(=O)C(=O)O)CC(=O)O
train_61.png,C1=CC(=C(C=C1C(=O)O)O)O
train_62.png,C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)O)OP(=O)(O)O)O)N
train_63.png,C(CN)C=O
